in:Windows,in:Walls,in:Roof,in:Infiltration,out:<50kWh/m2,out:<80kWh/m2,out:Space heating demand [kWh/m2],out:Cooling demand [kWh/m2],out:Electricity demand [kWh/m2],out:Total Load Intensity [kWh/m2],out:Co2 emissions [kg],out:Peak_Rooms[W],out:LT_rooms,out:Peak_Attic[W],out:LT_Attic,out:pct_cold,out:cold_comf,out:pct_hot,out:hot_comf,img
triple_glas,l_insulation,h_r_insulation,No gap_s + vA,False,False,112.716973,3.838928,48.345712,197.999067,44041.546724,773.105164,LT-ready,2543.460996,Almost LT-ready,3.116438,False,7.93379,False,Windowstriple_glas_Wallsl_insulation_Roofh_r_insulation_InfiltrationNogap_s+vA.png
double_glas,m_insulation,h_r_insulation,No gap_s + vA,False,False,146.77903,3.570538,48.077321,231.792733,53500.000101,964.619432,LT-ready,2923.723217,Almost LT-ready,5.559361,False,5.468037,False,Windowsdouble_glas_Wallsm_insulation_Roofh_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,m_insulation,h_r_insulation,No gap_s + vA,False,False,128.84415,3.668641,48.175425,213.955957,48517.620618,858.61863,LT-ready,2739.250886,Almost LT-ready,3.299087,False,6.621005,False,Windowsacht_w_foil_Wallsm_insulation_Roofh_r_insulation_InfiltrationNogap_s+vA.png
HR++,m_insulation,h_r_insulation,No gap_s + vA,False,False,115.222973,3.698097,48.204881,200.364236,44731.343732,773.203819,LT-ready,2595.407466,Almost LT-ready,1.849315,False,7.522831,False,WindowsHR++_Wallsm_insulation_Roofh_r_insulation_InfiltrationNogap_s+vA.png
triple_glas,m_insulation,h_r_insulation,No gap_s + vA,False,False,107.364086,3.763969,48.270753,192.571221,42549.262729,719.285523,LT-ready,2506.080054,Almost LT-ready,0.913242,True,8.493151,False,Windowstriple_glas_Wallsm_insulation_Roofh_r_insulation_InfiltrationNogap_s+vA.png
double_glas,h_insulation,h_r_insulation,No gap_s + vA,False,False,143.692345,3.529068,48.035851,228.664578,52639.578545,937.510713,LT-ready,2905.369037,Almost LT-ready,3.984018,False,5.605023,False,Windowsdouble_glas_Wallsh_insulation_Roofh_r_insulation_InfiltrationNogap_s+vA.png
acht_w_foil,h_insulation,h_r_insulation,No gap_s + vA,False,False,125.780991,3.623796,48.13058,210.847953,47663.571763,830.882545,LT-ready,2720.27975,Almost LT-ready,2.089041,False,6.73516,False,Windowsacht_w_foil_Wallsh_insulation_Roofh_r_insulation_InfiltrationNogap_s+vA.png
HR++,h_insulation,h_r_insulation,No gap_s + vA,False,False,112.231498,3.65609,48.162873,197.330753,43897.37102,744.941227,LT-ready,2575.841607,Almost LT-ready,0.799087,True,7.716895,False,WindowsHR++_Wallsh_insulation_Roofh_r_insulation_InfiltrationNogap_s+vA.png
triple_glas,h_insulation,h_r_insulation,No gap_s + vA,False,False,103.8165,3.722887,48.22967,188.982552,41560.693981,690.677152,LT-ready,2486.057625,Almost LT-ready,0.216895,True,9.086758,False,Windowstriple_glas_Wallsh_insulation_Roofh_r_insulation_InfiltrationNogap_s+vA.png
double_glas,non_insulated_w,non_insulated_r,min gap_s + vC1,False,False,241.077821,5.269754,49.776537,327.79074,79807.73048,1360.464341,LT-ready,4649.342536,Not LT-ready,45.43379,False,6.586758,False,Windowsdouble_glas_Wallsnon_insulated_w_Roofnon_insulated_r_Infiltrationmingap_s+vC1.png
acht_w_foil,non_insulated_w,non_insulated_r,min gap_s + vC1,False,False,225.449936,5.366942,49.873726,312.260044,75466.830557,1266.366114,LT-ready,4498.283715,Not LT-ready,42.671233,False,6.929224,False,Windowsacht_w_foil_Wallsnon_insulated_w_Roofnon_insulated_r_Infiltrationmingap_s+vC1.png
HR++,non_insulated_w,non_insulated_r,min gap_s + vC1,False,False,213.768415,5.39292,49.899703,300.6045,72219.755517,1190.939137,LT-ready,4381.580229,Not LT-ready,40.639269,False,7.248858,False,WindowsHR++_Wallsnon_insulated_w_Roofnon_insulated_r_Infiltrationmingap_s+vC1.png
triple_glas,non_insulated_w,non_insulated_r,min gap_s + vC1,False,False,205.871131,5.445592,49.952376,292.759889,70026.33476,1143.574691,LT-ready,4309.816301,Not LT-ready,38.949772,False,7.671233,False,Windowstriple_glas_Wallsnon_insulated_w_Roofnon_insulated_r_Infiltrationmingap_s+vC1.png
double_glas,cavity_w_insulation,non_insulated_r,min gap_s + vC1,False,False,194.940943,4.583197,49.08998,280.967305,66943.607089,943.433482,LT-ready,4407.901678,Not LT-ready,6.849315,False,6.278539,False,Windowsdouble_glas_Wallscavity_w_insulation_Roofnon_insulated_r_Infiltrationmingap_s+vC1.png
